GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
17031381700,140,17,031,16980,176,,,Census Tract 3817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031010201,140,17,031,16980,176,,,Census Tract 102.01,6450,2941,7450,2814,6450,7450,2312,2889,2350,2707,48,43,299,256,6,13,1100,1059,335,480
17031010202,140,17,031,16980,176,,,Census Tract 102.02,2818,1218,3255,1166,2818,3255,1237,1262,953,1183,18,19,143,112,1,5,335,462,131,209
17031010300,140,17,031,16980,176,,,Census Tract 103,6236,3254,6649,3281,6236,6649,3267,3599,1722,2117,21,23,346,236,16,3,634,349,230,322
17031010400,140,17,031,16980,176,,,Census Tract 104,5042,2311,5325,2464,5042,5325,3341,3121,729,823,17,8,562,966,5,6,166,165,222,236
17031010503,140,17,031,16980,176,,,Census Tract 105.03,2290,1364,2642,1340,2290,2642,1452,1377,303,673,19,9,331,255,2,4,86,169,97,152
17031010600,140,17,031,16980,176,,,Census Tract 106,6097,3227,7178,3136,6097,7178,3459,3457,1542,2078,33,43,329,393,1,4,528,776,205,427
17031010701,140,17,031,16980,176,,,Census Tract 107.01,3864,1650,4632,1670,3864,4632,2125,2259,761,1310,15,26,204,211,2,3,618,608,139,213
17031020100,140,17,031,16980,176,,,Census Tract 201,3965,1665,3634,1555,3965,3634,1529,1717,1182,837,28,20,608,467,4,1,444,384,170,208
17031020200,140,17,031,16980,176,,,Census Tract 202,6676,2165,6349,2093,6676,6349,4069,4330,618,334,8,4,1394,1212,1,6,372,229,214,234
17031020302,140,17,031,16980,176,,,Census Tract 203.02,4650,1846,4422,1804,4650,4422,3051,3645,462,151,12,7,504,376,0,3,475,110,146,127
17031020400,140,17,031,16980,176,,,Census Tract 204,4168,1831,4024,1765,4168,4024,2266,2603,718,410,27,13,530,493,0,0,458,294,169,211
17031835700,140,17,031,16980,176,,,Census Tract 8357,0,108,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031020602,140,17,031,16980,176,,,Census Tract 206.02,4340,1501,4270,1467,4340,4270,2084,2757,326,110,11,18,1215,814,5,2,507,308,192,257
17031020701,140,17,031,16980,176,,,Census Tract 207.01,1704,736,1689,678,1704,1689,1088,1093,42,30,7,4,418,417,0,0,79,56,70,87
17031020702,140,17,031,16980,176,,,Census Tract 207.02,7194,2510,7134,2312,7194,7134,3618,4616,556,127,32,17,2090,1764,0,0,551,236,347,370
17031020801,140,17,031,16980,176,,,Census Tract 208.01,5458,2244,5783,2209,5458,5783,2945,2911,386,237,32,24,1184,1639,2,10,710,517,199,443
17031020802,140,17,031,16980,176,,,Census Tract 208.02,6963,2402,7379,2365,6963,7379,2347,3715,746,302,43,30,2561,2091,0,12,961,660,305,565
17031020901,140,17,031,16980,176,,,Census Tract 209.01,5221,2113,5855,2029,5221,5855,1839,2335,1061,823,36,25,1182,1631,1,4,857,626,245,408
17031020902,140,17,031,16980,176,,,Census Tract 209.02,4286,1711,4806,1643,4286,4806,2095,1917,564,675,10,21,1123,1339,2,3,348,513,144,335
17031030101,140,17,031,16980,176,,,Census Tract 301.01,3893,2569,4122,2557,3893,4122,2017,2157,996,1000,20,12,505,528,0,7,230,198,125,216
17031030102,140,17,031,16980,176,,,Census Tract 301.02,3204,2107,3393,2097,3204,3393,1898,1776,709,823,13,10,330,435,1,6,140,163,113,178
17031030104,140,17,031,16980,176,,,Census Tract 301.04,3681,1357,3898,1350,3681,3898,2398,2040,409,945,8,11,695,499,1,7,71,188,99,205
17031030601,140,17,031,16980,176,,,Census Tract 306.01,4012,2377,4417,2351,4012,4417,2179,2252,1050,1243,16,14,424,455,0,7,212,229,131,214
