GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
39041011411,140,39,041,18140,198,,,Census Tract 114.11,2901,1158,2926,1080,2901,2926,2671,2798,61,40,2,0,104,60,0,0,7,2,56,26
39041011412,140,39,041,18140,198,,,Census Tract 114.12,4517,1533,3313,1022,4517,3313,4043,3057,167,173,5,5,230,46,2,1,16,12,54,19
39041011413,140,39,041,18140,198,,,Census Tract 114.13,6575,2496,2549,944,6575,2549,6053,2445,81,78,21,0,285,3,1,0,20,0,114,17
39041011421,140,39,041,18140,198,,,Census Tract 114.21,6785,2303,4602,1507,6785,4602,6029,4309,115,52,8,4,502,173,2,0,16,11,113,53
39041011430,140,39,041,18140,198,,,Census Tract 114.30,2807,1354,1352,747,2807,1352,2455,1258,82,23,1,0,183,51,0,0,33,4,53,12
39041011520,140,39,041,18140,198,,,Census Tract 115.20,3568,1552,2834,1060,3568,2834,3065,2450,204,236,5,8,139,55,1,0,86,37,68,43
39041011530,140,39,041,18140,198,,,Census Tract 115.30,3612,1296,2513,1010,3612,2513,2851,2255,205,77,2,3,424,117,0,1,43,13,87,47
39041011540,140,39,041,18140,198,,,Census Tract 115.40,5547,1853,1953,786,5547,1953,4639,1809,205,44,2,0,558,61,3,0,33,7,107,31
39041011560,140,39,041,18140,198,,,Census Tract 115.60,8056,2540,3808,1250,8056,3808,7303,3637,221,71,9,3,375,48,1,0,33,9,114,40
39041011561,140,39,041,18140,198,,,Census Tract 115.61,4513,2066,2033,1065,4513,2033,3563,1833,266,69,8,2,496,75,2,1,49,20,129,29
39041011604,140,39,041,18140,198,,,Census Tract 116.04,5189,2008,3770,1423,5189,3770,4910,3700,68,10,8,8,80,13,3,0,41,8,79,26
39041011710,140,39,041,18140,198,,,Census Tract 117.10,6370,2380,5479,1788,6370,5479,5638,5030,347,207,5,8,242,138,0,0,30,17,108,79
39041011730,140,39,041,18140,198,,,Census Tract 117.30,6999,2339,2466,848,6999,2466,6115,2280,402,93,5,1,304,41,0,0,52,20,121,31
39041011740,140,39,041,18140,198,,,Census Tract 117.40,5143,1737,2267,747,5143,2267,4553,2087,305,94,8,1,195,55,0,0,17,11,65,19
39041011750,140,39,041,18140,198,,,Census Tract 117.50,6184,2177,3300,1253,6184,3300,5652,3200,168,30,17,9,222,29,1,0,21,4,103,23
39041011760,140,39,041,18140,198,,,Census Tract 117.60,4240,1658,3811,1408,4240,3811,4089,3726,39,19,8,12,23,9,0,0,23,5,58,40
39041011762,140,39,041,18140,198,,,Census Tract 117.62,5209,2198,3337,1423,5209,3337,4658,3101,252,103,6,2,185,94,0,1,17,10,91,26
39041011900,140,39,041,18140,198,,,Census Tract 119,5002,1874,2409,1035,5002,2409,4257,2243,112,41,6,1,510,92,0,0,22,8,95,22
39045030600,140,39,045,18140,198,,,Census Tract 306,9179,3103,5701,1846,9179,5701,7437,5363,1150,181,15,5,272,67,2,1,71,20,232,61
39045032702,140,39,045,18140,198,,,Census Tract 327.02,7340,3096,5420,2194,7340,5420,3644,4321,2872,765,13,7,240,167,3,1,223,41,345,115
39045032900,140,39,045,18140,198,,,Census Tract 329,10344,3497,7405,2491,10344,7405,8906,6932,897,299,18,4,240,90,4,3,53,19,226,58
39045033100,140,39,045,18140,198,,,Census Tract 331,8700,3431,5403,2042,8700,5403,7183,5083,960,172,12,5,212,64,6,1,48,18,279,57
39049000110,140,39,049,18140,198,,,Census Tract 1.10,3344,1817,3498,1811,3344,3498,3217,3393,40,35,2,2,36,26,0,1,13,13,36,28
39049000220,140,39,049,18140,198,,,Census Tract 2.20,3727,1683,3860,1684,3727,3860,3536,3742,32,18,4,2,55,35,0,0,24,17,76,46
