GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
08001007802,140,08,001,19740,216,,,Census Tract 78.02,3758,1516,4203,1473,3758,4203,1484,2282,588,651,83,61,86,92,11,5,1340,896,166,214
08001008000,140,08,001,19740,216,,,Census Tract 80,5742,1899,6183,1913,5742,6183,2873,3147,957,1174,105,75,137,286,18,20,1364,1196,288,285
08001008100,140,08,001,19740,216,,,Census Tract 81,854,361,1050,936,854,1050,543,697,84,151,6,11,89,27,0,22,104,86,28,56
08001008200,140,08,001,19740,216,,,Census Tract 82,5484,1581,5393,1570,5484,5393,2964,3460,970,840,85,63,186,279,24,22,989,529,266,200
08001008309,140,08,001,19740,216,,,Census Tract 83.09,3254,1149,3052,1187,3254,3052,1937,2157,323,374,59,49,48,50,8,10,743,234,136,178
08001008505,140,08,001,19740,216,,,Census Tract 85.05,6655,2457,7169,2463,6655,7169,5281,5966,98,73,92,101,129,121,12,9,792,682,251,217
08001008506,140,08,001,19740,216,,,Census Tract 85.06,5383,2720,4504,2065,5383,4504,3848,3641,200,80,97,48,166,149,10,3,785,441,277,142
08001008507,140,08,001,19740,216,,,Census Tract 85.07,6099,2117,6511,2121,6099,6511,4904,5544,76,87,99,90,127,134,0,6,625,442,268,208
08001008523,140,08,001,19740,216,,,Census Tract 85.23,7586,2725,3888,1421,7586,3888,6458,3407,91,41,76,20,93,54,1,2,657,275,210,89
08001008524,140,08,001,19740,216,,,Census Tract 85.24,7814,2533,5877,1869,7814,5877,6620,5096,102,53,66,48,369,176,15,4,341,356,301,144
08001008526,140,08,001,19740,216,,,Census Tract 85.26,6742,2480,6230,2202,6742,6230,5840,5463,93,65,54,48,377,323,3,1,158,187,217,143
08001008529,140,08,001,19740,216,,,Census Tract 85.29,7446,3447,3606,1701,7446,3606,5952,3145,173,74,65,30,238,72,10,1,643,185,365,99
08001008533,140,08,001,19740,216,,,Census Tract 85.33,7650,3127,2575,1182,7650,2575,5908,2145,230,35,76,12,445,96,4,1,707,198,280,88
08001008534,140,08,001,19740,216,,,Census Tract 85.34,4283,1428,4597,1433,4283,4597,3488,3900,47,38,48,40,138,136,13,3,410,341,139,139
08001008536,140,08,001,19740,216,,,Census Tract 85.36,2443,903,209,84,2443,209,1972,176,76,1,13,3,157,3,4,0,121,20,100,5
08001008537,140,08,001,19740,216,,,Census Tract 85.37,6047,1956,519,182,6047,519,4827,436,75,3,56,8,210,7,2,0,595,49,282,12
08001008539,140,08,001,19740,216,,,Census Tract 85.39,8437,2818,725,263,8437,725,6191,609,398,4,102,11,346,10,12,0,947,69,441,17
08001008540,140,08,001,19740,216,,,Census Tract 85.40,6408,2181,900,314,6408,900,5136,846,154,5,39,0,524,5,6,0,336,26,213,13
08001008541,140,08,001,19740,216,,,Census Tract 85.41,4277,1556,600,224,4277,600,3871,565,37,4,23,0,133,4,1,0,132,18,80,8
08001008542,140,08,001,19740,216,,,Census Tract 85.42,7036,2337,2551,940,7036,2551,5885,2184,84,16,57,26,177,20,10,1,507,240,316,62
08001008543,140,08,001,19740,216,,,Census Tract 85.43,6935,2475,2515,996,6935,2515,5696,2152,53,16,81,25,67,20,6,0,803,237,229,61
08001008544,140,08,001,19740,216,,,Census Tract 85.44,4181,1369,2326,758,4181,2326,3381,2085,55,31,16,12,412,51,8,1,170,89,139,54
08001008545,140,08,001,19740,216,,,Census Tract 85.45,6769,2227,3766,1233,6769,3766,5898,3375,91,51,53,21,242,83,1,2,268,144,216,87
08001008546,140,08,001,19740,216,,,Census Tract 85.46,2912,1076,2337,815,2912,2337,2408,2054,55,27,18,20,112,48,7,2,214,116,98,67
08001008548,140,08,001,19740,216,,,Census Tract 85.48,1499,556,1203,421,1499,1203,1215,1057,17,14,11,10,111,24,0,1,67,59,78,34
08001008549,140,08,001,19740,216,,,Census Tract 85.49,3906,1323,3134,1002,3906,3134,3195,2756,54,37,44,27,160,64,2,2,259,155,192,90
08001008550,140,08,001,19740,216,,,Census Tract 85.50,7987,2753,5642,1908,7987,5642,6550,4914,115,51,89,48,377,158,14,7,547,309,295,152
08001008551,140,08,001,19740,216,,,Census Tract 85.51,571,211,403,146,571,403,512,351,4,3,1,3,17,11,0,0,28,22,9,10
08001008603,140,08,001,19740,216,,,Census Tract 86.03,2055,799,2262,669,2055,2262,1410,1380,34,8,36,76,21,3,3,2,453,694,98,99
08001008604,140,08,001,19740,216,,,Census Tract 86.04,4923,1206,3937,965,4923,3937,3474,2990,183,123,127,61,28,43,3,4,906,560,202,156
08001008605,140,08,001,19740,216,,,Census Tract 86.05,3679,1387,3525,1286,3679,3525,2797,2892,35,9,29,36,58,83,0,1,638,405,122,99
08001008606,140,08,001,19740,216,,,Census Tract 86.06,5931,2280,5465,1931,5931,5465,4318,3923,69,41,105,76,68,48,3,0,1187,1200,181,177
08001008705,140,08,001,19740,216,,,Census Tract 87.05,4921,1667,4640,1586,4921,4640,2905,3219,87,62,127,76,32,32,4,5,1505,1003,261,243
08001008706,140,08,001,19740,216,,,Census Tract 87.06,5436,1721,5384,1657,5436,5384,3171,3381,92,65,108,88,32,30,1,1,1735,1560,297,259
08001008709,140,08,001,19740,216,,,Census Tract 87.09,7656,2605,6497,2197,7656,6497,4469,4083,324,220,127,133,31,45,1,5,2356,1762,348,249
08001008801,140,08,001,19740,216,,,Census Tract 88.01,4752,1529,4807,1518,4752,4807,3179,3150,50,84,116,93,23,25,1,0,1178,1232,205,223
08001008802,140,08,001,19740,216,,,Census Tract 88.02,4075,1226,3706,1286,4075,3706,2574,2586,92,52,33,92,16,32,1,6,1217,777,142,161
08001009001,140,08,001,19740,216,,,Census Tract 90.01,4645,1536,4520,1472,4645,4520,2979,3171,176,97,122,85,55,46,4,6,1071,899,238,216
08001009101,140,08,001,19740,216,,,Census Tract 91.01,4112,1403,3989,1340,4112,3989,2939,3046,50,50,83,58,41,29,4,9,822,663,173,134
08001009103,140,08,001,19740,216,,,Census Tract 91.03,3462,1139,3149,1209,3462,3149,2388,2621,44,38,48,49,32,30,1,1,831,304,118,106
08001009104,140,08,001,19740,216,,,Census Tract 91.04,5200,1845,3958,1429,5200,3958,3600,3292,94,51,72,51,165,53,7,2,1020,360,242,149
08001009202,140,08,001,19740,216,,,Census Tract 92.02,4242,1469,4480,1450,4242,4480,3277,3218,40,46,52,56,56,46,8,9,648,974,161,131
08001009203,140,08,001,19740,216,,,Census Tract 92.03,4222,1717,3681,1666,4222,3681,2697,2786,115,96,57,43,67,68,7,11,1055,516,224,161
08001009204,140,08,001,19740,216,,,Census Tract 92.04,6500,2599,3327,1207,6500,3327,4534,2603,198,76,51,24,525,129,10,6,976,377,206,112
08001009206,140,08,001,19740,216,,,Census Tract 92.06,2021,770,1209,394,2021,1209,1449,933,39,15,24,19,195,43,0,1,218,150,96,44
08001009207,140,08,001,19740,216,,,Census Tract 92.07,4429,1572,2649,806,4429,2649,3166,2045,82,33,79,43,118,96,1,4,836,329,147,97
08001009304,140,08,001,19740,216,,,Census Tract 93.04,5400,2160,5055,1961,5400,5055,3953,4195,141,101,49,53,157,173,9,6,885,373,206,154
08001009306,140,08,001,19740,216,,,Census Tract 93.06,3692,1236,3562,1223,3692,3562,2541,2682,38,32,105,53,127,149,10,3,723,542,148,101
08001009307,140,08,001,19740,216,,,Census Tract 93.07,3774,1281,3776,1278,3774,3776,2545,2680,70,56,64,33,65,99,5,16,867,735,158,157
08001009308,140,08,001,19740,216,,,Census Tract 93.08,4087,1405,4117,1385,4087,4117,2781,2863,61,31,83,51,51,85,9,13,933,886,169,188
08001009309,140,08,001,19740,216,,,Census Tract 93.09,3613,1491,3556,1414,3613,3556,2243,2565,46,64,71,32,341,363,7,3,734,404,171,125
08001009310,140,08,001,19740,216,,,Census Tract 93.10,5827,1983,5372,1979,5827,5372,3907,3778,72,81,102,66,182,260,9,1,1314,962,241,224
08001009316,140,08,001,19740,216,,,Census Tract 93.16,5751,2184,5960,2264,5751,5960,4423,4940,37,56,84,112,51,150,3,20,984,504,169,178
08001009318,140,08,001,19740,216,,,Census Tract 93.18,5664,2271,4931,2045,5664,4931,3234,3364,139,168,97,111,168,194,6,4,1677,850,343,240
08001009319,140,08,001,19740,216,,,Census Tract 93.19,2605,983,3298,1439,2605,3298,1817,2674,39,23,56,43,82,172,1,1,518,268,92,117
08001009320,140,08,001,19740,216,,,Census Tract 93.20,2672,1272,2524,1258,2672,2524,1746,2009,53,59,52,57,93,55,1,5,619,231,108,108
08001009321,140,08,001,19740,216,,,Census Tract 93.21,3782,1572,3747,1724,3782,3747,2833,3097,52,52,61,35,266,314,8,7,475,141,87,101
08001009322,140,08,001,19740,216,,,Census Tract 93.22,4246,1618,3726,1587,4246,3726,2990,3263,72,64,56,27,262,86,4,6,725,195,137,85
08001009323,140,08,001,19740,216,,,Census Tract 93.23,3728,1523,3704,1525,3728,3704,2608,2959,106,73,78,34,191,178,12,16,549,324,184,120
08001009325,140,08,001,19740,216,,,Census Tract 93.25,5063,2522,4035,1983,5063,4035,4345,3495,112,61,38,14,201,222,5,7,236,140,126,96
08001009327,140,08,001,19740,216,,,Census Tract 93.27,4124,1639,3981,1519,4124,3981,3233,3345,71,69,24,30,261,211,5,4,380,219,150,100
08001009401,140,08,001,19740,216,,,Census Tract 94.01,4903,1829,5006,1820,4903,5006,3626,4066,35,58,61,62,283,258,5,2,719,369,174,191
08001009406,140,08,001,19740,216,,,Census Tract 94.06,4259,1755,4407,1756,4259,4407,3427,3579,66,53,50,27,252,239,3,5,344,377,117,127
08001009407,140,08,001,19740,216,,,Census Tract 94.07,5227,1817,5529,1794,5227,5529,3628,4162,64,95,48,56,260,389,4,1,969,635,254,191
08001009408,140,08,001,19740,216,,,Census Tract 94.08,4260,1752,1568,617,4260,1568,3527,1393,72,11,9,6,420,103,2,1,108,32,122,22
08001009410,140,08,001,19740,216,,,Census Tract 94.10,3316,1289,3483,1222,3316,3483,3007,3174,28,45,8,9,137,141,1,0,67,74,68,40
08001009411,140,08,001,19740,216,,,Census Tract 94.11,2959,1261,3123,1270,2959,3123,2494,2738,67,62,31,16,104,127,5,3,154,96,104,81
08001009501,140,08,001,19740,216,,,Census Tract 95.01,3156,1158,3302,1145,3156,3302,2129,2394,49,18,60,41,153,222,0,4,650,486,115,137
08001009502,140,08,001,19740,216,,,Census Tract 95.02,3633,1264,3732,1410,3633,3732,2540,2694,37,45,54,32,173,239,9,5,689,572,131,145
08001009553,140,08,001,19740,216,,,Census Tract 95.53,2959,1127,3317,1117,2959,3317,2154,2620,31,22,76,64,62,86,7,7,530,399,99,119
08001009603,140,08,001,19740,216,,,Census Tract 96.03,5921,2445,6042,2446,5921,6042,4510,4851,121,104,107,69,176,145,6,3,760,620,241,250
08001009604,140,08,001,19740,216,,,Census Tract 96.04,4569,2063,4554,1952,4569,4554,3524,3338,61,60,65,40,134,274,9,1,618,611,158,230
08001009607,140,08,001,19740,216,,,Census Tract 96.07,4931,1929,5030,1909,4931,5030,3219,3531,107,55,88,47,553,775,7,12,746,454,211,156
08001009751,140,08,001,19740,216,,,Census Tract 97.51,3626,1420,3275,1306,3626,3275,2456,2501,68,31,108,65,21,51,1,3,819,482,153,139
08001009752,140,08,001,19740,216,,,Census Tract 97.52,3061,1086,2765,998,3061,2765,1958,2111,53,26,30,54,85,43,3,3,789,407,143,118
08001015000,140,08,001,19740,216,,,Census Tract 150,2495,1130,2521,1145,2495,2521,1858,2036,30,35,42,25,16,20,0,4,470,302,79,99
08001060000,140,08,001,19740,216,,,Census Tract 600,4747,1511,1992,686,4747,1992,4194,1848,29,14,26,8,225,19,2,1,159,67,112,32
08001060100,140,08,001,19740,216,,,Census Tract 601,6170,2214,4950,1762,6170,4950,5164,4401,67,54,42,54,350,156,6,6,319,170,222,109
08001060200,140,08,001,19740,216,,,Census Tract 602,3681,1875,5127,2285,3681,5127,3083,4347,75,105,40,48,145,210,10,2,185,239,143,176
08001061200,140,08,001,19740,216,,,Census Tract 612,1294,407,543,185,1294,543,1077,503,38,4,16,2,85,5,0,0,30,18,48,8
08001988700,140,08,001,19740,216,,,Census Tract 9887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08003960200,140,08,003,99999,999,,,Census Tract 9602,6342,2793,6810,2782,6342,6810,4798,4926,88,103,119,142,101,81,4,12,879,1223,353,323
08003960300,140,08,003,99999,999,,,Census Tract 9603,4796,1835,4097,1656,4796,4097,3072,2419,61,26,233,128,33,15,13,11,1203,1323,181,175
08005004951,140,08,005,19740,216,,,Census Tract 49.51,1883,1176,2046,1237,1883,2046,1221,1394,141,198,24,17,154,126,2,3,270,186,71,119
08005004952,140,08,005,19740,216,,,Census Tract 49.52,2301,1473,2500,1549,2301,2500,1654,1704,154,242,12,21,113,155,3,3,265,227,100,145
08005005551,140,08,005,19740,216,,,Census Tract 55.51,3224,1133,3373,1263,3224,3373,2069,2254,210,129,95,88,102,111,2,2,602,633,144,156
08005005552,140,08,005,19740,216,,,Census Tract 55.52,2414,1135,2517,1194,2414,2517,1704,2004,40,41,51,55,37,57,5,1,492,259,85,100
08005005553,140,08,005,19740,216,,,Census Tract 55.53,3594,1495,3891,1492,3594,3891,2847,3159,70,99,42,42,83,145,1,3,352,312,199,131
08005005611,140,08,005,19740,216,,,Census Tract 56.11,4747,1948,4954,1924,4747,4954,4328,4590,46,45,45,21,116,108,3,4,100,90,109,96
08005005612,140,08,005,19740,216,,,Census Tract 56.12,3616,1529,3784,1527,3616,3784,3252,3557,52,40,14,18,22,39,9,3,156,63,111,64
08005005614,140,08,005,19740,216,,,Census Tract 56.14,3146,1299,3404,1302,3146,3404,2915,3190,25,25,10,22,64,67,2,2,60,27,70,71
08005005619,140,08,005,19740,216,,,Census Tract 56.19,4574,1806,4763,1802,4574,4763,4214,4462,39,44,34,29,55,47,1,0,115,104,116,77
08005005623,140,08,005,19740,216,,,Census Tract 56.23,3547,1437,3809,1449,3547,3809,3324,3589,27,40,12,11,72,72,1,5,22,45,89,47
08005005624,140,08,005,19740,216,,,Census Tract 56.24,2106,823,2324,815,2106,2324,1971,2214,8,11,13,18,42,34,4,0,22,21,46,26
08005005625,140,08,005,19740,216,,,Census Tract 56.25,2899,1239,3191,1224,2899,3191,2675,3005,37,16,10,17,65,43,3,6,28,43,81,61
08005005626,140,08,005,19740,216,,,Census Tract 56.26,3210,1630,3231,1421,3210,3231,2930,3023,44,33,25,21,65,63,5,0,51,32,90,59
08005005627,140,08,005,19740,216,,,Census Tract 56.27,4271,1820,4586,1820,4271,4586,4063,4443,28,25,17,11,78,56,3,0,28,14,54,37
