GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
20003953600,140,20,003,99999,999,,,Census Tract 9536,5104,2322,5037,2273,5104,5037,4941,4908,24,15,25,37,25,14,1,2,28,25,60,36
20005081600,140,20,005,11860,312,,,Census Tract 816,4488,1975,4679,1888,4488,4679,4335,4537,54,53,22,36,14,5,0,1,11,10,52,37
20005081700,140,20,005,11860,312,,,Census Tract 817,6403,2199,5704,2065,6403,5704,5576,4926,500,555,32,28,29,38,5,5,41,42,220,110
20005081800,140,20,005,11860,312,,,Census Tract 818,2907,1228,3133,1247,2907,3133,2687,2913,107,117,14,12,5,3,1,2,17,18,76,68
20045000200,140,20,045,29940,999,,,Census Tract 2,6819,3231,6497,3041,6819,6497,5423,5083,426,609,332,336,87,27,9,4,142,133,400,305
20045000300,140,20,045,29940,999,,,Census Tract 3,7367,2684,6746,2876,7367,6746,6572,6017,196,151,85,123,260,190,4,8,58,110,192,147
20045000501,140,20,045,29940,999,,,Census Tract 5.01,3227,1720,3626,1699,3227,3626,2611,2883,225,333,78,126,55,37,3,2,53,72,202,173
20045000502,140,20,045,29940,999,,,Census Tract 5.02,5366,2338,5556,2358,5366,5556,4821,4974,111,160,52,84,180,152,4,4,31,46,167,136
20045000603,140,20,045,29940,999,,,Census Tract 6.03,5786,2578,4103,1793,5786,4103,4951,3626,240,192,73,54,205,102,7,1,98,41,212,85
20045000604,140,20,045,29940,999,,,Census Tract 6.04,5079,2249,3603,1564,5079,3603,4432,3183,238,169,62,47,111,89,3,0,52,36,181,75
20045000702,140,20,045,29940,999,,,Census Tract 7.02,6405,3007,6283,2767,6405,6283,5365,5363,262,302,112,99,317,252,2,2,94,71,253,194
20045000797,140,20,045,29940,999,,,Census Tract 7.97,4786,2296,4940,2191,4786,4940,4198,4440,134,120,78,53,180,189,3,0,45,36,148,102
20045000801,140,20,045,29940,999,,,Census Tract 8.01,5498,2607,3423,1443,5498,3423,4432,2935,304,133,153,76,315,121,3,4,78,56,213,98
20045000802,140,20,045,29940,999,,,Census Tract 8.02,5640,2476,5895,2446,5640,5895,4397,5128,333,250,187,121,346,202,4,0,138,58,235,136
20045000902,140,20,045,29940,999,,,Census Tract 9.02,2118,992,2090,853,2118,2090,1636,1743,85,77,89,104,162,71,1,0,36,35,109,60
20045001002,140,20,045,29940,999,,,Census Tract 10.02,5747,2272,5237,1964,5747,5237,4426,4173,413,373,241,179,245,234,2,3,95,65,325,210
20045001202,140,20,045,29940,999,,,Census Tract 12.02,7295,2764,5442,2080,7295,5442,6817,5187,51,30,111,77,63,24,3,1,56,37,194,86
20045001203,140,20,045,29940,999,,,Census Tract 12.03,6651,2542,5415,1939,6651,5415,6268,5162,100,39,41,34,30,22,3,3,33,23,176,132
