GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
55001950202,140,55,001,99999,999,,,Census Tract 9502.02,2674,2954,2517,2160,2674,2517,2577,2463,10,7,18,15,14,3,2,0,19,7,34,17
55001950400,140,55,001,99999,999,,,Census Tract 9504,4767,2652,4583,2402,4767,4583,4539,4448,53,11,39,29,22,23,0,1,37,25,77,46
55001950501,140,55,001,99999,999,,,Census Tract 9505.01,1469,1971,1098,1797,1469,1098,1442,1075,4,3,2,2,2,1,0,0,10,5,9,10
55003940000,140,55,003,99999,999,,,Census Tract 9400,1867,851,1794,729,1867,1794,670,1035,4,3,1102,698,0,0,0,0,4,3,87,51
55003950300,140,55,003,99999,999,,,Census Tract 9503,2696,1177,3029,1186,2696,3029,2421,2802,13,7,126,132,23,32,1,2,19,18,93,36
55003950400,140,55,003,99999,999,,,Census Tract 9504,2410,1208,2378,1109,2410,2378,2113,2161,9,9,201,145,8,4,2,2,6,9,71,48
55003950500,140,55,003,99999,999,,,Census Tract 9505,2201,993,2035,858,2201,2035,2088,1958,2,0,42,55,11,5,0,1,3,3,55,13
55003950600,140,55,003,99999,999,,,Census Tract 9506,1391,1175,1601,1107,1391,1601,1348,1549,2,2,12,19,5,4,0,1,3,6,21,20
55003950700,140,55,003,99999,999,,,Census Tract 9507,2206,1901,2581,1709,2206,2581,2147,2544,2,5,18,18,4,1,1,0,3,0,31,13
55003950800,140,55,003,99999,999,,,Census Tract 9508,3386,2351,3447,2184,3386,3447,2875,2640,16,9,290,677,8,6,0,1,18,9,179,103
55003990000,140,55,003,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55005000100,140,55,005,99999,999,,,Census Tract 1,3829,2597,3710,2058,3829,3710,3745,3672,14,2,11,6,7,5,0,0,11,4,41,21
55005000200,140,55,005,99999,999,,,Census Tract 2,3933,2520,4179,2371,3933,4179,3676,3956,12,6,166,167,5,13,0,0,22,4,52,33
55005000300,140,55,005,99999,999,,,Census Tract 3,4215,2396,4396,2216,4215,4396,4068,4294,4,3,66,66,15,5,0,0,18,9,44,19
55005000400,140,55,005,99999,999,,,Census Tract 4,5465,2330,5358,2177,5465,5358,4949,5217,309,26,41,6,32,17,1,5,53,41,80,46
55005000500,140,55,005,99999,999,,,Census Tract 5,4242,2077,4142,1885,4242,4142,4069,4034,18,3,31,22,40,25,0,0,24,30,60,28
55005000600,140,55,005,99999,999,,,Census Tract 6,6182,3047,6233,2758,6182,6233,5976,6042,14,12,46,42,42,35,2,11,34,37,68,54
55005000800,140,55,005,99999,999,,,Census Tract 8,5435,2345,4744,1893,5435,4744,5285,4668,15,3,12,18,26,18,0,0,24,5,73,32
55005000900,140,55,005,99999,999,,,Census Tract 9,5123,2187,5121,2034,5123,5121,4996,5044,11,1,15,17,31,14,0,1,30,8,40,36
55005001002,140,55,005,99999,999,,,Census Tract 10.02,5572,3315,5297,2881,5572,5297,5467,5235,8,5,15,14,20,9,0,0,20,2,42,29
55007960300,140,55,007,99999,999,,,Census Tract 9603,3661,1868,3910,1740,3661,3910,3296,3649,21,5,170,172,10,15,1,1,15,9,148,59
55007990000,140,55,007,99999,999,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55009000100,140,55,009,24580,999,,,Census Tract 1,2690,1086,2978,1135,2690,2978,1765,2117,188,79,154,157,290,393,0,0,160,132,133,100
55009000200,140,55,009,24580,999,,,Census Tract 2,5963,2781,6160,2718,5963,6160,5064,5632,221,68,176,137,185,143,4,2,110,63,203,115
55009000303,140,55,009,24580,999,,,Census Tract 3.03,2811,1265,3094,1308,2811,3094,2260,2726,131,39,150,123,119,121,1,3,47,18,103,64
55009000401,140,55,009,24580,999,,,Census Tract 4.01,4632,2464,4697,2472,4632,4697,3631,4213,173,86,233,160,259,104,3,5,192,33,141,96
55009000402,140,55,009,24580,999,,,Census Tract 4.02,2343,1039,2435,1046,2343,2435,2136,2347,20,8,54,20,51,21,0,0,41,19,41,20
55009000700,140,55,009,24580,999,,,Census Tract 7,4945,2239,5224,2225,4945,5224,4010,4503,139,62,263,195,188,267,11,0,155,89,179,108
55009000800,140,55,009,24580,999,,,Census Tract 8,1835,864,2148,939,1835,2148,1080,1332,206,70,154,214,151,350,0,0,147,107,97,75
55009000900,140,55,009,24580,999,,,Census Tract 9,4029,1587,4171,1669,4029,4171,2440,2830,152,83,194,226,152,293,1,0,909,591,181,148
55009001100,140,55,009,24580,999,,,Census Tract 11,2081,830,2203,862,2081,2203,1241,1513,116,51,107,104,179,225,0,0,364,221,74,89
55009001200,140,55,009,24580,999,,,Census Tract 12,2323,1009,2696,1126,2323,2696,1221,1877,287,133,205,170,116,189,0,5,374,207,120,115
