GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
40001376700,140,40,001,99999,999,,,Census Tract 3767,5354,2263,5078,2101,5354,5078,2927,3088,22,7,1593,1458,96,5,0,1,64,73,652,446
40001376800,140,40,001,99999,999,,,Census Tract 3768,4845,1928,10162,5073,4845,10162,1684,4787,8,20,2487,4490,1,7,1,1,89,43,575,814
40001376900,140,40,001,99999,999,,,Census Tract 3769,4535,1893,4004,1739,4535,4004,1551,1721,13,16,2216,1886,19,7,0,1,282,119,454,254
40001377000,140,40,001,99999,999,,,Census Tract 3770,5106,1874,4770,1693,5106,4770,1825,1832,10,4,2778,2543,3,0,0,1,75,47,415,343
40003956000,140,40,003,99999,999,,,Census Tract 9560,2835,1030,3016,1073,2835,3016,2399,2500,214,250,110,117,9,4,0,3,40,52,63,90
40005587700,140,40,005,99999,999,,,Census Tract 5877,4082,1907,3828,1847,4082,3828,2833,2811,267,363,522,436,41,15,6,0,48,3,365,200
40005587900,140,40,005,99999,999,,,Census Tract 5879,4877,1901,4406,1664,4877,4406,3551,3335,226,179,711,446,3,12,0,0,72,17,314,417
40007951600,140,40,007,99999,999,,,Census Tract 9516,2698,1198,2773,1200,2698,2773,2099,2516,30,4,32,30,4,5,0,0,428,158,105,60
40007951700,140,40,007,99999,999,,,Census Tract 9517,1327,723,1404,735,1327,1404,1233,1356,1,4,12,17,2,0,0,0,43,4,36,23
40007951800,140,40,007,99999,999,,,Census Tract 9518,1611,749,1680,784,1611,1680,1332,1558,13,9,17,26,1,1,0,2,215,58,33,26
40009966100,140,40,009,21120,999,,,Census Tract 9661,7400,3408,6540,3083,7400,6540,6170,5756,216,221,293,221,68,30,0,2,419,160,234,150
40009966800,140,40,009,21120,999,,,Census Tract 9668,5993,2159,5639,2134,5993,5639,4843,4505,519,751,115,127,63,17,1,1,304,138,148,100
40011958600,140,40,011,99999,999,,,Census Tract 9586,1525,729,1593,784,1525,1593,1394,1556,5,6,28,6,5,1,0,0,64,11,29,13
40011958700,140,40,011,99999,999,,,Census Tract 9587,1737,1245,1828,1148,1737,1828,1368,1502,0,0,257,249,2,0,0,2,41,24,69,51
40011958800,140,40,011,99999,999,,,Census Tract 9588,1220,658,1402,655,1220,1402,1107,1280,3,15,59,82,0,0,0,0,20,5,31,20
40011958900,140,40,011,99999,999,,,Census Tract 9589,5524,1664,5164,1705,5524,5164,4151,3250,290,719,335,437,17,83,3,94,476,248,252,333
40013795600,140,40,013,20460,999,,,Census Tract 7956,2700,1300,2488,1165,2700,2488,2066,1902,6,4,456,465,2,2,3,2,36,35,131,78
