GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
42003010300,140,42,003,38300,430,,,Census Tract 103,6600,388,3922,721,6600,3922,4345,3075,2057,522,13,12,73,147,2,4,23,109,87,53
42003020100,140,42,003,38300,430,,,Census Tract 201,3629,2342,5222,1623,3629,5222,2706,2941,580,2071,8,8,171,107,2,2,61,36,101,57
42003040200,140,42,003,38300,430,,,Census Tract 402,2604,687,2178,589,2604,2178,1373,883,1003,1159,7,11,169,73,0,1,6,16,46,32
42003040400,140,42,003,38300,430,,,Census Tract 404,2488,1480,1940,1691,2488,1940,1518,1424,86,56,9,0,766,411,1,0,44,17,64,31
42003040600,140,42,003,38300,430,,,Census Tract 406,2392,1152,2271,1169,2392,2271,1965,1808,146,142,6,4,193,238,1,0,39,16,42,63
42003040900,140,42,003,38300,430,,,Census Tract 409,2969,1469,3007,1558,2969,3007,2022,1892,633,851,2,2,183,129,1,4,35,21,93,108
42003060300,140,42,003,38300,430,,,Census Tract 603,2341,1386,2585,1448,2341,2585,1649,1866,546,583,3,3,59,50,1,1,25,7,58,75
42003060500,140,42,003,38300,430,,,Census Tract 605,1274,849,1488,928,1274,1488,1056,1247,155,178,2,3,16,15,0,0,7,7,38,38
42003070800,140,42,003,38300,430,,,Census Tract 708,1705,1088,1667,1062,1705,1667,1265,1269,84,114,1,1,306,235,1,0,13,17,35,31
42003070900,140,42,003,38300,430,,,Census Tract 709,4934,2893,4748,2780,4934,4748,2965,3247,353,393,5,7,1460,919,4,9,46,90,101,83
42003080200,140,42,003,38300,430,,,Census Tract 802,1679,1004,1828,1019,1679,1828,1514,1740,84,44,2,2,41,15,1,0,12,9,25,18
42003080400,140,42,003,38300,430,,,Census Tract 804,1369,825,1413,934,1369,1413,1033,1071,98,150,2,2,199,166,0,1,6,4,31,19
42003080600,140,42,003,38300,430,,,Census Tract 806,1998,1226,2118,1319,1998,2118,1643,1760,172,196,3,2,128,91,0,1,19,19,33,49
42003080700,140,42,003,38300,430,,,Census Tract 807,1785,1163,1791,1180,1785,1791,1120,1067,362,508,13,15,226,107,0,0,23,26,41,68
42003080900,140,42,003,38300,430,,,Census Tract 809,1767,1102,1920,1141,1767,1920,1352,1519,246,280,4,6,92,67,1,0,18,21,54,27
42003090100,140,42,003,38300,430,,,Census Tract 901,1843,1124,1957,1186,1843,1957,1541,1799,226,102,1,0,17,38,0,0,15,0,43,18
42003090200,140,42,003,38300,430,,,Census Tract 902,2635,1544,3144,1715,2635,3144,2317,2940,196,124,2,0,61,42,0,0,16,6,43,28
42003100500,140,42,003,38300,430,,,Census Tract 1005,2079,963,2100,890,2079,2100,600,697,1397,1330,1,0,13,14,0,0,4,7,64,52
42003101100,140,42,003,38300,430,,,Census Tract 1011,2669,1442,2899,1504,2669,2899,1754,2493,751,318,10,6,37,36,1,0,37,6,79,40
42003101400,140,42,003,38300,430,,,Census Tract 1014,3346,1643,3549,1679,3346,3549,2652,3123,552,351,3,2,33,11,2,0,24,18,80,44
42003110600,140,42,003,38300,430,,,Census Tract 1106,2406,1108,2497,1140,2406,2497,1735,1838,518,556,3,0,76,25,0,0,21,21,53,52
42003111300,140,42,003,38300,430,,,Census Tract 1113,2639,1524,3188,1655,2639,3188,659,780,1795,2202,6,11,51,62,11,0,21,48,96,85
42003130100,140,42,003,38300,430,,,Census Tract 1301,1910,1073,2637,1299,1910,2637,47,38,1769,2534,9,12,2,2,0,1,18,8,65,40
42003130200,140,42,003,38300,430,,,Census Tract 1302,1370,734,1885,872,1370,1885,21,15,1291,1832,5,6,5,4,0,0,20,5,28,23
42003140100,140,42,003,38300,430,,,Census Tract 1401,5476,1167,5538,1117,5476,5538,3668,3899,192,184,15,13,1233,948,0,8,189,378,179,108
42003140200,140,42,003,38300,430,,,Census Tract 1402,2447,1137,2435,1281,2447,2435,1801,1771,85,120,1,1,484,465,1,1,26,20,49,57
42003140500,140,42,003,38300,430,,,Census Tract 1405,2054,1167,2304,1208,2054,2304,721,634,1137,1564,7,9,64,37,0,0,23,9,102,51
42003141000,140,42,003,38300,430,,,Census Tract 1410,928,479,1054,521,928,1054,857,989,17,33,1,0,29,15,1,0,7,1,16,13
42003141100,140,42,003,38300,430,,,Census Tract 1411,1361,625,1378,627,1361,1378,1226,1335,57,22,0,0,43,9,2,0,3,5,30,7
42003141300,140,42,003,38300,430,,,Census Tract 1413,5177,2574,4944,2571,5177,4944,4061,4184,205,228,3,4,757,415,1,5,34,39,116,63
42003151700,140,42,003,38300,430,,,Census Tract 1517,4931,2557,5217,2579,4931,5217,4253,4756,248,177,9,9,276,163,0,0,47,29,98,78
42003160900,140,42,003,38300,430,,,Census Tract 1609,2872,1888,2181,1378,2872,2181,2587,2055,142,87,5,5,90,13,0,0,9,5,39,16
42003170200,140,42,003,38300,430,,,Census Tract 1702,3725,2438,3545,2235,3725,3545,3555,3399,54,60,3,5,53,28,2,5,15,4,43,44
42003170600,140,42,003,38300,430,,,Census Tract 1706,1864,1113,2046,1088,1864,2046,1658,1924,116,86,3,2,15,12,2,2,23,4,47,16
42003180300,140,42,003,38300,430,,,Census Tract 1803,2500,1291,3194,1485,2500,3194,1485,2477,878,637,9,1,1,8,0,0,11,2,116,65
42003180700,140,42,003,38300,430,,,Census Tract 1807,2011,1069,2374,1104,2011,2374,1537,2017,391,313,5,5,7,16,0,0,25,5,46,17
42003191400,140,42,003,38300,430,,,Census Tract 1914,2796,1736,3061,1728,2796,3061,2416,2798,269,180,2,9,23,17,0,1,17,9,69,47
42003191500,140,42,003,38300,430,,,Census Tract 1915,2047,1168,2309,1177,2047,2309,1760,2151,193,102,3,2,16,21,1,1,12,9,62,23
42003191600,140,42,003,38300,430,,,Census Tract 1916,4295,2088,4661,2120,4295,4661,3374,4155,575,354,3,11,69,35,0,0,135,26,139,80
42003191900,140,42,003,38300,430,,,Census Tract 1919,2183,1076,2447,1095,2183,2447,1994,2353,107,36,4,1,27,19,0,0,6,7,45,31
42003192000,140,42,003,38300,430,,,Census Tract 1920,3679,1851,4084,1919,3679,4084,3080,3807,388,146,5,7,56,51,1,1,77,33,72,34
42003210700,140,42,003,38300,430,,,Census Tract 2107,2130,1319,2535,1373,2130,2535,340,312,1707,2161,9,2,13,7,1,0,4,8,56,44
42003220600,140,42,003,38300,430,,,Census Tract 2206,1833,1276,1938,1238,1833,1938,1018,1005,730,858,3,4,17,14,0,0,9,15,56,42
42003241200,140,42,003,38300,430,,,Census Tract 2412,884,552,1258,621,884,1258,703,1124,134,92,5,1,8,7,0,0,6,3,28,27
42003250300,140,42,003,38300,430,,,Census Tract 2503,1090,695,1262,754,1090,1262,421,312,617,920,2,0,6,3,0,0,14,5,30,22
42003260200,140,42,003,38300,430,,,Census Tract 2602,2285,1079,2698,1180,2285,2698,1526,2116,638,478,2,4,22,24,0,0,24,10,73,64
42003260700,140,42,003,38300,430,,,Census Tract 2607,1744,835,1921,904,1744,1921,993,1227,670,628,4,3,14,5,0,0,9,17,54,40
42003261200,140,42,003,38300,430,,,Census Tract 2612,1051,510,1072,501,1051,1072,866,916,160,136,0,0,0,1,0,0,0,1,25,14
42003261500,140,42,003,38300,430,,,Census Tract 2615,1672,938,2000,1003,1672,2000,478,711,1094,1189,10,1,9,21,1,1,16,12,64,64
42003262000,140,42,003,38300,430,,,Census Tract 2620,2648,1326,3040,1392,2648,3040,1799,2325,754,679,1,1,18,6,0,0,9,3,67,26
42003270100,140,42,003,38300,430,,,Census Tract 2701,2649,1252,2868,1286,2649,2868,1941,2431,585,377,1,2,18,16,1,2,11,12,92,28
42003270400,140,42,003,38300,430,,,Census Tract 2704,1079,552,1136,600,1079,1136,546,534,487,561,0,2,4,2,0,0,7,27,35,8
42003270800,140,42,003,38300,430,,,Census Tract 2708,2651,1349,3047,1326,2651,3047,2147,2793,432,196,3,0,11,8,0,0,13,13,45,33
42003281500,140,42,003,38300,430,,,Census Tract 2815,1462,714,1628,717,1462,1628,1179,1508,212,87,1,2,13,5,0,0,6,5,51,21
42003300100,140,42,003,38300,430,,,Census Tract 3001,3747,1857,4432,1923,3747,4432,1603,2784,1930,1481,2,8,33,49,0,1,31,33,148,76
42003310200,140,42,003,38300,430,,,Census Tract 3102,3227,1569,3638,1601,3227,3638,3131,3590,48,17,2,1,7,10,5,0,4,1,30,15
42003320400,140,42,003,38300,430,,,Census Tract 3204,1994,915,2239,949,1994,2239,1853,2151,84,61,1,0,29,15,0,0,3,0,24,9
42003320600,140,42,003,38300,430,,,Census Tract 3206,2261,1060,2419,1076,2261,2419,2067,2308,96,74,2,1,28,17,0,0,17,5,51,14
42003320700,140,42,003,38300,430,,,Census Tract 3207,1650,791,1795,777,1650,1795,1570,1749,45,11,0,3,4,10,0,0,6,2,25,17
42003401100,140,42,003,38300,430,,,Census Tract 4011,4447,2177,4621,2129,4447,4621,4317,4495,57,69,6,0,27,19,0,0,4,1,36,32
42003401200,140,42,003,38300,430,,,Census Tract 4012,3272,1758,3458,1850,3272,3458,2828,3070,278,301,8,4,19,16,0,0,12,8,127,59
42003401300,140,42,003,38300,430,,,Census Tract 4013,2742,1242,2836,1259,2742,2836,2663,2783,31,33,0,1,15,9,0,0,1,2,32,8
42003402000,140,42,003,38300,430,,,Census Tract 4020,3260,1689,3577,1717,3260,3577,3040,3399,141,123,3,4,10,8,1,1,12,13,53,28
42003406000,140,42,003,38300,430,,,Census Tract 4060,2376,1041,2533,1043,2376,2533,2326,2501,9,5,2,1,16,17,1,0,2,2,20,6
42003407002,140,42,003,38300,430,,,Census Tract 4070.02,6597,2761,6834,2622,6597,6834,6481,6757,42,25,5,5,27,19,1,0,8,0,33,23
42003408001,140,42,003,38300,430,,,Census Tract 4080.01,4769,2043,4313,1685,4769,4313,4625,4239,25,19,6,4,55,17,0,0,5,8,53,21
42003408002,140,42,003,38300,430,,,Census Tract 4080.02,6331,2391,4912,1821,6331,4912,6105,4829,31,23,8,2,133,35,1,0,5,4,48,18
42003409000,140,42,003,38300,430,,,Census Tract 4090,11497,4122,25016,8915,11497,25016,10701,24352,143,182,13,11,460,262,1,9,48,41,131,157
42003410000,140,42,003,38300,430,,,Census Tract 4100,1171,497,1161,487,1171,1161,1140,1144,7,0,0,0,11,10,2,0,3,2,8,2
42003411000,140,42,003,38300,430,,,Census Tract 4110,6915,2531,5977,2005,6915,5977,6254,5732,85,64,8,0,456,132,3,0,22,4,87,43
42003412001,140,42,003,38300,430,,,Census Tract 4120.01,8605,3143,6528,2349,8605,6528,7196,6193,120,75,16,2,1115,190,1,5,27,18,130,43
42003413100,140,42,003,38300,430,,,Census Tract 4131,6609,2740,6769,2655,6609,6769,5883,6249,123,128,10,1,495,328,9,1,31,7,58,50
42003413201,140,42,003,38300,430,,,Census Tract 4132.01,3737,1650,3850,1625,3737,3850,3494,3680,47,33,4,4,139,94,0,0,8,8,45,31
42003413202,140,42,003,38300,430,,,Census Tract 4132.02,2866,1262,2719,1145,2866,2719,2757,2639,14,13,0,0,56,40,0,0,9,4,30,23
42003413300,140,42,003,38300,430,,,Census Tract 4133,4742,1922,5073,1860,4742,5073,4476,4949,46,18,5,5,167,81,0,0,10,4,38,12
42003413400,140,42,003,38300,430,,,Census Tract 4134,4339,1731,4554,1650,4339,4554,4002,4321,31,43,0,0,254,158,1,0,6,2,45,27
42003413500,140,42,003,38300,430,,,Census Tract 4135,6164,3002,5984,2735,6164,5984,5527,5541,212,137,6,3,325,221,1,1,20,13,73,68
42003414101,140,42,003,38300,430,,,Census Tract 4141.01,5358,2046,5613,1943,5358,5613,5178,5503,59,33,1,0,80,64,1,0,6,4,33,6
42003414102,140,42,003,38300,430,,,Census Tract 4141.02,7040,3141,5973,2498,7040,5973,6660,5784,85,57,5,7,208,93,0,0,15,11,67,18
42003414200,140,42,003,38300,430,,,Census Tract 4142,5965,2368,5934,2182,5965,5934,5792,5822,22,27,3,0,97,57,0,0,7,4,44,22
42003415001,140,42,003,38300,430,,,Census Tract 4150.01,4708,1829,4041,1499,4708,4041,4264,3926,71,52,7,3,288,34,0,1,27,5,51,14
42003415002,140,42,003,38300,430,,,Census Tract 4150.02,2545,1014,2795,984,2545,2795,2377,2614,28,35,2,0,117,112,0,0,3,14,18,18
42003416000,140,42,003,38300,430,,,Census Tract 4160,1636,837,1802,838,1636,1802,1629,1795,3,1,2,0,1,0,0,0,0,0,1,6
42003417100,140,42,003,38300,430,,,Census Tract 4171,2145,1039,2400,1079,2145,2400,2122,2382,4,2,2,2,3,4,0,0,3,4,11,6
