GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
29071800100,140,29,071,41180,476,,,Census Tract 8001,8584,3441,7950,3042,8584,7950,8340,7748,58,79,22,24,58,22,6,1,25,11,75,65
29071800202,140,29,071,41180,476,,,Census Tract 8002.02,5564,2210,4379,1626,5564,4379,5437,4307,21,4,10,10,47,22,2,0,16,2,31,34
29071800601,140,29,071,41180,476,,,Census Tract 8006.01,6903,2794,6011,2421,6903,6011,6623,5797,70,80,40,18,24,13,1,0,28,18,117,85
29071800602,140,29,071,41180,476,,,Census Tract 8006.02,8402,3372,6133,2384,8402,6133,8117,6009,75,45,23,11,35,7,4,1,55,13,93,47
29071800702,140,29,071,41180,476,,,Census Tract 8007.02,3083,1322,2675,1073,3083,2675,2927,2552,50,58,15,5,13,4,0,2,26,17,52,37
29071800901,140,29,071,41180,476,,,Census Tract 8009.01,3122,1372,2864,1248,3122,2864,3033,2803,22,18,14,9,6,4,0,0,13,3,34,24
29071800902,140,29,071,41180,476,,,Census Tract 8009.02,6727,2983,6170,2714,6727,6170,6518,6041,67,40,20,19,13,9,2,0,15,6,92,52
29071801000,140,29,071,41180,476,,,Census Tract 8010,3758,1690,3636,1511,3758,3636,3675,3561,15,24,11,6,11,6,5,2,7,1,34,36
29099700107,140,29,099,41180,476,,,Census Tract 7001.07,2836,1147,2523,1035,2836,2523,2761,2456,9,7,9,10,10,10,0,0,4,13,43,27
29099700109,140,29,099,41180,476,,,Census Tract 7001.09,12720,4374,7942,2592,12720,7942,12311,7816,80,9,33,14,88,27,1,3,23,22,184,51
29099700110,140,29,099,41180,476,,,Census Tract 7001.10,8013,3148,7071,2674,8013,7071,7717,6956,38,12,11,8,82,26,4,1,56,9,105,59
29099700111,140,29,099,41180,476,,,Census Tract 7001.11,3938,1745,4126,1781,3938,4126,3788,4056,27,11,12,14,31,9,0,0,21,9,59,27
29099700113,140,29,099,41180,476,,,Census Tract 7001.13,3579,1362,3176,1172,3579,3176,3469,3136,7,3,11,6,35,10,0,0,23,9,34,12
29099700114,140,29,099,41180,476,,,Census Tract 7001.14,4485,1799,4251,1678,4485,4251,4330,4149,25,8,9,6,57,21,1,0,10,14,53,50
29099700115,140,29,099,41180,476,,,Census Tract 7001.15,4333,1679,4107,1565,4333,4107,4214,4008,8,8,9,6,38,20,1,0,19,13,44,49
29099700116,140,29,099,41180,476,,,Census Tract 7001.16,3125,1147,3111,1060,3125,3111,3019,3048,19,4,7,7,26,14,0,0,13,10,41,25
