GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
36011040100,140,36,011,12180,532,,,Census Tract 401,4700,2474,5270,2584,4700,5270,4567,5165,18,10,34,31,25,5,1,5,3,10,52,44
36011040400,140,36,011,12180,532,,,Census Tract 404,4464,1916,4777,1956,4464,4777,4339,4669,14,17,17,16,19,21,1,1,11,3,63,50
36011040500,140,36,011,12180,532,,,Census Tract 405,3267,1314,3255,1278,3267,3255,3216,3211,14,6,4,11,4,6,1,0,5,4,23,17
36011040600,140,36,011,12180,532,,,Census Tract 406,3595,1314,3244,1117,3595,3244,3426,3115,62,77,11,6,33,28,1,2,19,1,43,15
36011040800,140,36,011,12180,532,,,Census Tract 408,4820,2141,5249,2022,4820,5249,4088,4118,585,868,26,12,14,12,1,0,79,216,27,22
36011040900,140,36,011,12180,532,,,Census Tract 409,4063,1828,3891,1628,4063,3891,3972,3827,12,12,14,13,23,16,2,2,3,0,37,21
36011041100,140,36,011,12180,532,,,Census Tract 411,4349,2028,4181,1854,4349,4181,4204,4109,11,6,7,15,19,23,1,0,72,6,35,17
36011041300,140,36,011,12180,532,,,Census Tract 413,3898,1833,4138,1939,3898,4138,3512,3858,172,147,12,15,13,19,2,1,25,40,162,58
36011041400,140,36,011,12180,532,,,Census Tract 414,4879,2606,5090,2407,4879,5090,4547,4815,132,127,18,10,39,55,0,2,33,14,110,67
36011041500,140,36,011,12180,532,,,Census Tract 415,2890,1353,3036,1464,2890,3036,2675,2912,107,69,5,6,9,13,1,0,24,1,69,35
36011041800,140,36,011,12180,532,,,Census Tract 418,4677,2251,4604,2037,4677,4604,3988,4020,405,417,11,15,23,20,1,0,43,31,206,96
36023970100,140,36,023,18660,296,,,Census Tract 9701,3715,1619,3869,1577,3715,3869,3613,3779,12,9,9,17,12,6,0,0,4,2,65,56
36023970200,140,36,023,18660,296,,,Census Tract 9702,5830,2480,5914,2407,5830,5914,5683,5806,24,19,13,23,26,11,1,1,40,12,43,42
36053030501,140,36,053,45060,532,,,Census Tract 305.01,3172,1270,2944,1184,3172,2944,3019,2820,55,63,8,10,34,18,0,1,22,6,34,26
36053030502,140,36,053,45060,532,,,Census Tract 305.02,3914,1624,3543,1384,3914,3543,3837,3489,10,8,7,7,14,16,6,0,8,4,32,19
36053030800,140,36,053,45060,532,,,Census Tract 308,3895,2037,3807,1813,3895,3807,3725,3553,110,168,15,14,8,10,1,0,8,35,28,27
36053940101,140,36,053,45060,532,,,Census Tract 9401.01,2736,1231,2702,1178,2736,2702,2566,2640,51,20,33,14,15,5,0,0,7,8,64,15
36053940102,140,36,053,45060,532,,,Census Tract 9401.02,4977,2347,5012,2260,4977,5012,4749,4863,55,49,61,29,31,12,2,2,11,9,68,48
36053940103,140,36,053,45060,532,,,Census Tract 9401.03,3680,1477,3273,1234,3680,3273,3407,3076,32,19,140,110,41,34,2,0,21,3,37,31
