GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
20001952600,140,20,001,99999,999,,,Census Tract 9526,2011,982,2130,983,2011,2130,1920,2065,17,10,18,21,3,9,1,0,4,2,48,23
20001952700,140,20,001,99999,999,,,Census Tract 9527,2174,995,2328,961,2174,2328,2081,2226,10,8,28,30,11,12,0,0,16,4,28,48
20001952900,140,20,001,99999,999,,,Census Tract 9529,2367,1163,2924,1416,2367,2924,2226,2792,24,29,21,32,16,2,0,0,33,25,47,44
20003953600,140,20,003,99999,999,,,Census Tract 9536,5104,2322,5037,2273,5104,5037,4941,4908,24,15,25,37,25,14,1,2,28,25,60,36
20003953700,140,20,003,99999,999,,,Census Tract 9537,2998,1398,3073,1323,2998,3073,2902,2992,16,11,14,23,12,4,0,0,14,2,40,41
20005081600,140,20,005,11860,312,,,Census Tract 816,4488,1975,4679,1888,4488,4679,4335,4537,54,53,22,36,14,5,0,1,11,10,52,37
20005081700,140,20,005,11860,312,,,Census Tract 817,6403,2199,5704,2065,6403,5704,5576,4926,500,555,32,28,29,38,5,5,41,42,220,110
20005081800,140,20,005,11860,312,,,Census Tract 818,2907,1228,3133,1247,2907,3133,2687,2913,107,117,14,12,5,3,1,2,17,18,76,68
20007968100,140,20,007,99999,999,,,Census Tract 9681,3138,1756,3432,1752,3138,3432,3021,3355,19,13,13,10,17,4,0,0,31,15,37,35
20009971300,140,20,009,24460,999,,,Census Tract 9713,3072,1539,3368,1633,3072,3368,2925,3217,30,37,14,27,3,2,0,0,31,40,69,45
20009971400,140,20,009,24460,999,,,Census Tract 9714,2573,1199,2230,1105,2573,2230,2184,2032,72,68,23,7,5,4,0,1,205,69,84,49
20009971500,140,20,009,24460,999,,,Census Tract 9715,3485,1567,3293,1520,3485,3293,3275,3122,32,27,11,11,16,17,2,1,80,79,69,36
20009971600,140,20,009,24460,999,,,Census Tract 9716,3948,1874,3996,1894,3948,3996,3660,3793,68,40,9,15,13,8,0,0,131,85,67,55
20009971700,140,20,009,24460,999,,,Census Tract 9717,2946,1279,2832,1324,2946,2832,2212,2368,67,76,37,15,4,8,11,0,540,304,75,61
20009971800,140,20,009,24460,999,,,Census Tract 9718,5975,2414,6102,2532,5975,6102,4796,5451,120,59,28,30,11,19,3,1,906,391,111,151
20011955600,140,20,011,99999,999,,,Census Tract 9556,2774,1396,2778,1358,2774,2778,2657,2696,22,20,17,24,1,7,0,1,21,3,56,27
20011955700,140,20,011,99999,999,,,Census Tract 9557,2332,1133,2415,1122,2332,2415,2251,2344,13,10,17,18,10,2,0,1,4,2,37,38
20011955900,140,20,011,99999,999,,,Census Tract 9559,3402,1524,3396,1479,3402,3396,3113,3084,140,186,23,41,10,10,0,2,26,22,90,51
20011956000,140,20,011,99999,999,,,Census Tract 9560,2874,1436,3077,1536,2874,3077,2636,2833,85,121,28,27,17,22,4,0,26,10,78,64
20013480600,140,20,013,99999,999,,,Census Tract 4806,2923,1293,3043,1281,2923,3043,2217,2376,18,26,608,602,4,1,0,1,6,5,70,32
20013480800,140,20,013,99999,999,,,Census Tract 4808,3459,1698,3787,1695,3459,3787,3048,3383,23,39,208,245,16,16,1,0,38,29,125,73
20015020100,140,20,015,48620,556,,,Census Tract 201,6253,2141,5793,1985,6253,5793,5594,5190,484,403,71,61,11,12,1,2,22,37,70,88
20015020201,140,20,015,48620,556,,,Census Tract 202.01,7176,2649,6139,2144,7176,6139,6687,5825,175,100,90,75,34,20,1,1,63,32,126,86
20015020202,140,20,015,48620,556,,,Census Tract 202.02,8343,3014,6253,2258,8343,6253,7772,5932,92,30,53,42,114,70,4,1,105,68,203,110
20015020203,140,20,015,48620,556,,,Census Tract 202.03,5784,2178,3499,1325,5784,3499,5440,3345,39,25,34,36,118,23,5,1,21,8,127,61
