id,year,exclude,Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,Column
1,2010,,127 Hours,Independent,93,84,Escape,Adventure,916,2333,18.33,42.4,60.73,18,337.39%,0.26,,,http://boxofficemojo.com/movies/?id=127hours.htm,
2,2010,,A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,3332,9875,63.08,52.59,115.66,35,330.46%,32.9,,,,
3,2010,,Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,31143,334.19,690.2,1024.39,200,512.20%,116.1,,,,
4,2010,,All About Steve ,Independent,6,35,Comedy,Comedy,2251,4994,33.86,6.26,40.13,15,267.53%,11.2,,,http://www.the-numbers.com/movies/2009/ABSTV.php,
5,2010,y,All Good Things,Independent,33,64,The Riddle,Drama,2,,0.58,0.062,0.64,20,3.20%,0.037,,,http://www.wikipedia.org,
6,2010,,Alpha and Omega,Crest,17,41,Journey and Return,Animation,2625,3469,25.12,4.8,29.91,20,149.55%,9.1,,,,
7,2010,y,Barry Munday,Independent,43,43,Maturation,Comedy,,,,,,,,,,,,
8,2010,,Black Swan        ,Fox,88,86,Wretched Excess,Drama,959,8742,106.95,222.44,329.39,13,2533.77%,8.38,Best Actress,,,
9,2010,,Brooklyn's Finest,Independent,42,47,Temptation,Action,1936,6896,27.2,9.15,36.31,17,213.59%,13.4,,,http://boxofficemojo.com/movies,
10,2010,,Buried,Independent,86,63,Escape,Drama,11,9115,1.04,17.33,18.38,2,919.00%,0.103,,,http://boxofficemojo.com/movies,
11,2010,,Burlesque,Paramount,36,66,Rags to Riches,Drama,3037,3934,38.24,17.84,56.08,55,101.96%,11.95,,,http://boxofficemojo.com/movies/?id=burlesque.htm,
12,2010,,Case 39,Independent,23,42,Monster Force,Horror,2211,2420,13.26,14.93,28.19,26,108.42%,5.4,,,http://boxofficemojo.com/movies,
13,2010,,Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,3705,3314,43.59,68.9,112.48,85,132.33%,12.3,,,http://boxofficemojo.com/movies,
14,2010,,Charlie St. Cloud	,Universal,27,62,Discovery,Fantasy,2718,4555,31.16,14.93,46.09,44,104.75%,12.4,,,http://boxofficemojo.com/movies,
15,2010,,City Island,Independent,81,77,Transformation,Comedy,2,,6.67,1.19,7.86,6,131.00%,0.032,,,http://boxofficemojo.com/movies,
16,2010,,Clash of the Titans,Warner Bros.,28,48,Quest,Action,3777,16213,163.21,330,493.21,125,394.57%,61.2,,,http://boxofficemojo.com/movies,
17,2010,y,Conviction,Independent,68,71,Rescue,Biography,672,2424,6.79,2.92,9.71,12.5,77.68%,1.62,,,http://boxofficemojo.com/movies,
18,2010,y,Cop Out,Warner Bros.,19,45,The Riddle,Action,3150,5781,44.88,10.64,55.52,30,185.07%,18.21,,,http://boxofficemojo.com/movies,
19,2010,y,Country Strong,Sony,20,56,Rags to Riches,Drama,1424,5145,20.21,0.31,20.52,15,136.80%,7.33,,,,
20,2010,,Cyrus,Independent,80,51,Rivalry,Comedy,4,45429,7.47,2.45,9.92,7,141.71%,0.18,,,http://boxofficemojo.com/movies,
21,2010,,Date Night,Fox,66,58,Pursuit,Comedy,3374,7471,98.71,53.55,152.26,55,276.84%,25.2,,,http://boxofficemojo.com/movies,
22,2010,,Daybreakers	,Lionsgate,67,50,Discovery,Action,2523,6003,30.1,21.31,51.42,20,257.10%,15.1,,,,
23,2010,,Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.98,25,459.92%,30.4,,,,
24,2010,,Death at a Funeral,Independent,40,48,Comedy,Comedy,2459,6595,42.74,6.31,49.05,21,233.57%,16.2,,,,
25,2010,,Despicable Me,Universal,81,81,Maturation,Animation,3476,16225,251.38,290.5,541.88,69,785.33%,56.4,,,,
26,2010,,Devil,Independent,52,45,Monster Force,Horror,2809,4375,33.6,23.23,56.83,10,568.30%,12.3,,,,
27,2010,,Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,3077,7191,64,11.7,75.7,15,504.67%,22.1,,,,
28,2010,,Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,2911,8082,73.03,13.38,86.41,69,125.23%,23.5,,,,
29,2010,,Due Date,Warner Bros.,40,56,Comedy,Comedy,3355,9743,99.65,100.9,200.55,50,401.10%,32.69,,,http://boxofficemojo.com/movies/?id=duedate.htm,
30,2010,,Easy A,Sony,85,75,Maturation,Comedy,2856,6209,58.4,15.24,73.64,8,920.50%,17.7,,,,
31,2010,,Eat Pray Love	,Sony,36,46,Journey and Return,Drama,3082,7497,80.57,123.91,204.48,60,340.80%,23.1,,,,
32,2010,,Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,3066,5615,43.31,37.81,81.12,80,101.40%,17.2,,,,
33,2010,,Extraordinary Measures	,CBS,27,55,Underdog,Drama,2549,2359,12.07,3.07,15.13,31,48.81%,6,,,,
34,2010,,Faster	,CBS,41,50,Revenge,Action,2454,3873,22.94,1.97,24.91,24,103.79%,8.52,,,,
35,2010,y,For Colored Girls,Independent,33,73,Discovery,Drama,2127,9167,37.69,17.32,37.7,21,179.52%,19.5,,,,
36,2010,,From Paris with Love,Independent,38,57,Pursuit,Action,2722,2997,24.08,28.72,52.8,52,101.54%,8.2,,,,
37,2010,,Furry Vengeance	,Summit,8,36,Comedy,Comedy,2997,2211,17.63,18.34,35.97,35,102.77%,6.6,,,,
38,2010,,Get Him to the Greek,Universal,73,63,Comedy,Comedy,2697,6515,60.97,30.42,91.39,40,228.48%,17.6,,,,
39,2010,,Going the Distance,Warner Bros.,53,56,Love,Comedy,3030,2272,17.8,24.25,42.05,32,131.41%,6.9,,,,
40,2010,,Green Zone,Universal,53,60,Quest,Action,3003,4765,35.05,59.82,94.88,100,94.88%,14.3,,,,
41,2010,y,Greenberg,Independent,75,40,Transformation,Comedy,3,39384,4.23,1.92,6.15,,,0.11,,,,
42,2010,,Grown Ups	,Independent,10,59,Comedy,Comedy,3534,11462,161.9,105.5,267.4,80,334.25%,40.5,,,,
43,2010,,Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,2546,2477,42,194,237.38,112,211.95%,6.3,,,,
44,2010,y,Hachiko: A Dog's Story,Independent,58,85,Sacrifice,Drama,,,0,40.26,40.26,16,251.63%,18,,,,
45,2010,,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,4125,30307,295,660,955.41,125,764.33%,125,,,http://boxofficemojo.com/movies,
