id,year,exclude,Film,Rotten Tomatoes,Audience Score,Story,Genre,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profit,Proftitability
1,2010,,127 Hours,93,84,Escape,Adventure,18.33,42.4,60.73,18,42.73,337.39%
2,2010,,A Nightmare on Elm Street,13,40,Monster Force,Horror,63.08,52.59,115.66,35,80.66,330.46%
3,2010,,Alice in Wonderland,52,72,Journey And Return,Adventure,334.19,690.2,1024.39,200,824.39,512.20%
4,2010,,All About Steve ,6,35,Comedy,Comedy,33.86,6.26,40.13,15,25.13,267.53%
5,2010,y,All Good Things,33,64,The Riddle,Drama,0.58,0.062,0.64,20,-19.36,3.20%
6,2010,,Alpha and Omega,17,41,Journey And Return,Animation,25.12,4.8,29.91,20,9.91,149.55%
8,2010,,Black Swan,88,86,Wretched Excess,Drama,106.95,222.44,329.39,13,316.39,2533.77%
9,2010,,Brooklyn's Finest,42,47,Temptation,Action,27.2,9.15,36.31,17,19.31,213.59%
10,2010,,Buried,86,63,Escape,Drama,1.04,17.33,18.38,2,16.38,919.00%
11,2010,,Burlesque,36,66,Rags To Riches,Drama,38.24,17.84,56.08,55,1.08,101.96%
12,2010,,Case 39,23,42,Monster Force,Horror,13.26,14.93,28.19,26,2.19,108.42%
13,2010,,Cats & Dogs: The Revenge of Kitty Galore,13,43,Pursuit,Action,43.59,68.9,112.48,85,27.48,132.33%
14,2010,,Charlie St. Cloud,27,62,Discovery,Romance,31.16,14.93,46.09,44,2.09,104.75%
15,2010,,City Island,81,77,Transformation,Comedy,6.67,1.19,7.86,6,1.86,131.00%
16,2010,,Clash of the Titans,28,48,Quest,Action,163.21,330,493.21,125,368.21,394.57%
17,2010,y,Conviction,68,71,Rescue,Biography,6.79,2.92,9.71,12.5,-2.79,77.68%
18,2010,y,Cop Out,19,45,The Riddle,Action,44.88,10.64,55.52,30,25.52,185.07%
19,2010,y,Country Strong,20,56,Rags To Riches,Drama,20.21,0.31,20.52,15,5.52,136.80%
20,2010,,Cyrus,80,51,Rivalry,Comedy,7.47,2.45,9.92,7,2.92,141.71%
21,2010,,Date Night,66,58,Pursuit,Comedy,98.71,53.55,152.26,55,97.26,276.84%
22,2010,,Daybreakers,67,50,Discovery,Action,30.1,21.31,51.42,20,31.42,257.10%
23,2010,,Dear John,29,66,Love,Drama,80.01,34.96,114.98,25,89.98,459.92%
24,2010,,Death at a Funeral,40,48,Comedy,Comedy,42.74,6.31,49.05,21,28.05,233.57%
25,2010,,Despicable Me,81,81,Maturation,Animation,251.38,290.5,541.88,69,472.88,785.33%
26,2010,,Devil,52,45,Monster Force,Horror,33.6,23.23,56.83,10,46.83,568.30%
27,2010,,Diary of a Wimpy Kid,53,49,Underdog,Comedy,64,11.7,75.7,15,60.7,504.67%
28,2010,,Dinner for Schmucks,43,47,Comedy,Comedy,73.03,13.38,86.41,69,17.41,125.23%
29,2010,,Due Date,40,56,Comedy,Comedy,99.65,100.9,200.55,50,150.55,401.10%
30,2010,,Easy A,85,75,Maturation,Comedy,58.4,15.24,73.64,8,65.64,920.50%
31,2010,,Eat Pray Love,36,46,Journey And Return,Drama,80.57,123.91,204.48,60,144.48,340.80%
32,2010,,Edge of Darkness,55,56,Revenge,Crime,43.31,37.81,81.12,80,1.12,101.40%
33,2010,,Extraordinary Measures,27,55,Underdog,Drama,12.07,3.07,15.13,31,-15.87,48.81%
34,2010,,Faster,41,50,Revenge,Action,22.94,1.97,24.91,24,0.91,103.79%
35,2010,y,For Colored Girls,33,73,Discovery,Drama,37.69,17.32,37.7,21,16.7,179.52%
36,2010,,From Paris with Love,38,57,Pursuit,Action,24.08,28.72,52.8,52,0.8,101.54%
37,2010,,Furry Vengeance,8,36,Comedy,Comedy,17.63,18.34,35.97,35,0.97,102.77%
38,2010,,Get Him to the Greek,73,63,Comedy,Comedy,60.97,30.42,91.39,40,51.39,228.48%
39,2010,,Going the Distance,53,56,Love,Comedy,17.8,24.25,42.05,32,10.05,131.41%
40,2010,,Green Zone,53,60,Quest,Action,35.05,59.82,94.88,100,-5.12,94.88%
42,2010,,Grown Ups,10,59,Comedy,Comedy,161.9,105.5,267.4,80,187.4,334.25%
43,2010,,Gulliver's Travels,21,31,Journey And Return,Comedy,42,194,237.38,112,125.38,211.95%
44,2010,y,Hachiko: A Dog's Story,58,85,Sacrifice,Drama,0,40.26,40.26,16,24.26,251.63%
45,2010,,Harry Potter and the Deathly Hallows Part 1,79,87,Quest,Adventure,295,660,955.41,125,830.41,764.33%
46,2010,,Hot Tub Time Machine,64,57,Journey And Return,Adventure,50.29,14.13,64.42,36,28.42,178.94%
47,2010,,How to Train Your Dragon,98,90,Underdog,Animation,217.58,277.3,494.88,165,329.88,299.93%
48,2010,,I Love You Phillip Morris,71,57,Love,Comedy,1.44,18.66,20.1,15,5.1,134.00%
50,2010,,Inception,86,93,Journey And Return,Action,292.58,531,823.58,160,663.58,514.74%
51,2010,,Iron Man 2,74,80,Rivalry,Action,312.43,309.62,622.1,200,422.1,311.05%
52,2010,,Jackass 3-D,63,72,Comedy,Documentary,117.19,52.76,169.95,20,149.95,849.75%
53,2010,,Jonah Hex,13,24,Revenge,Action,10.55,0.36,10.9,47,-36.1,23.19%
54,2010,y,Just Wright,45,58,Love,Comedy,21.54,0.029,21.57,12,9.57,179.75%
55,2010,,Kick-Ass,76,83,Rivalry,Action,48.07,48.06,96.13,30,66.13,320.43%
56,2010,,Killers,11,45,Love,Action,47.06,46.34,93.4,75,18.4,124.53%
57,2010,,Knight and Day,53,52,Pursuit,Action,76.42,185.26,261.68,117,144.68,223.66%
59,2010,,Leap Year,21,49,Love,Comedy,25.9,6.69,32.61,19,13.61,171.63%
60,2010,,Legend of the Guardians: The Owls of Ga'Hoole,51,65,Rivalry,Animation,55.64,84.26,139.9,80,59.9,174.88%
61,2010,,Legion,19,36,Monster Force,Action,40.17,27.74,67.91,26,41.91,261.19%
62,2010,,Letters to Juliet,40,62,Love,Comedy,53.03,26.15,79.18,30,49.18,263.93%
63,2010,,Life as We Know It,28,62,Love,Comedy,53.13,43.03,96.16,38,58.16,253.05%
64,2010,,Little Fockers,9,40,Comedy,Comedy,123.69,109.01,232.7,100,132.7,232.70%
65,2010,,Love & Other Drugs,48,55,Love,Comedy,31.68,22.85,54.53,30,24.53,181.77%
66,2010,,MacGruber,47,33,Comedy,Action,8.53,0.8,9.32,10,-0.68,93.20%
67,2010,,Machete,73,66,Revenge,Action,26.59,15.55,42.15,20,22.15,210.75%
68,2010,,Marmaduke,9,46,Rivalry,Comedy,33.64,49.71,83.36,50,33.36,166.72%
69,2010,,Megamind,72,73,Transformation,Animation,144.67,173.46,321.88,130,191.88,247.60%
70,2010,y,Morning Glory,54,54,Comedy,Comedy,31.01,27.78,58.78,40,18.78,146.95%
71,2010,,Mother and Child,79,61,Transformation,Drama,1.11,3.76,4.87,7,-2.13,69.57%
72,2010,y,My Soul to Take,9,29,Monster Force,Horror,14.74,5.09,19.83,25,-5.17,79.32%
73,2010,,Nanny McPhee Returns,77,54,Comedy,Comedy,29.01,64.23,93.25,35,58.25,266.43%
74,2010,y,Never Let Me Go,70,70,Tragedy,Drama,2.43,7.3,9.45,15,-5.55,63.00%
76,2010,,Paranormal Activity 2,59,51,Monster Force,Horror,84.75,92.75,177.51,3,174.51,5917.00%
77,2010,,Percy Jackson & the Olympians: The Lightning Thief,50,57,Rivalry,Action,88.77,137.73,226.5,95,131.5,238.42%
78,2010,,Piranha 3-D,74,45,Monster Force,Comedy,25,54.78,79.78,24,55.78,332.42%
79,2010,y,Please Give,88,62,Comedy,Comedy,4.03,0.23,4.26,3,1.26,142.00%
80,2010,,Predators,64,52,Monster Force,Action,52,74.74,126.74,40,86.74,316.85%
81,2010,,Prince of Persia: The Sands of Time,36,71,Rivalry,Action,90.76,244.39,335.15,200,135.15,167.58%
82,2010,,Red,71,72,Rivalry,Action,89.84,74.58,164.42,58,106.42,283.48%
83,2010,,Remember Me,28,70,Love,Drama,19.07,36.79,55.85,16,39.85,349.06%
84,2010,,Repo Men,22,43,Rescue,Action,13.79,4.62,18.41,32,-13.59,57.53%
85,2010,,Resident Evil: Afterlife,24,53,Monster Force,Action,60.13,236.09,296.22,60,236.22,493.70%
86,2010,,Robin Hood,42,59,Rivalry,Action,105.27,216.4,321.67,200,121.67,160.84%
87,2010,,Salt,62,62,Revenge,Action,118.31,175.19,293.5,110,183.5,266.82%
88,2010,,Saw 3-D,10,47,Escape,Crime,45.71,76.8,122.51,20,102.51,612.55%
89,2010,,Scott Pilgrim vs. the World,81,83,Underdog,Action,31.52,16.05,47.58,60,-12.42,79.30%
90,2010,,Sex and the City 2,15,49,Love,Comedy,95.35,193,288.35,100,188.35,288.35%
91,2010,,She's Out of My League,57,60,Love,Comedy,32.01,16.8,48.81,20,28.81,244.05%
92,2010,,Shrek Forever After,57,64,Journey And Return,Animation,238.74,510.06,748.8,165,583.8,453.82%
93,2010,,Shutter Island,68,73,The Riddle,Drama,128.01,166.79,294.8,80,214.8,368.50%
94,2010,,Skyline,16,19,Monster Force,Action,21.39,33.87,55.26,10,45.26,552.60%
95,2010,,Solitary Man,81,47,Wretched Excess,Comedy,4.36,0.7,5.06,15,-9.94,33.73%
96,2010,,Step Up 3D,46,67,Transformation,Drama,42.4,116.75,159.15,30,129.15,530.50%
97,2010,,Stone,49,20,Rivalry,Drama,1.81,6.59,8.4,22,-13.6,38.18%
98,2010,,Takers,27,57,Rivalry,Action,57.74,10.42,68.16,32,36.16,213.00%
99,2010,,Tangled,89,88,Love,Animation,175.78,179.3,355.08,260,95.08,136.57%
100,2010,,The A-Team,47,71,Pursuit,Action,77.22,99.81,177.03,100,77.03,177.03%
101,2010,,The American,66,37,Rivalry,Crime,35.61,10.39,46,20,26,230.00%
102,2010,,The Back-up Plan,20,47,Love,Comedy,37.49,39.6,77.1,35,42.1,220.29%
103,2010,,The Book of Eli        ,48,68,Quest,Action,94.84,58.62,153.45,80,73.45,191.81%
104,2010,,The Bounty Hunter,7,41,Rivalry,Action,67.06,69.26,136.32,40,96.32,340.80%
105,2010,,The Chronicles of Narnia: The Voyage of the Dawn Treader,49,63,Quest,Adventure,104,311,415.68,155,260.68,268.18%
107,2010,,The Crazies,72,54,Monster Force,Horror,39.12,15.47,54.59,20,34.59,272.95%
108,2010,,The Expendables,40,58,Pursuit,Action,103.07,171.4,274.47,82,192.47,334.72%
109,2010,,The Fighter,91,88,Underdog,Drama,93,35,129.19,25,104.19,516.76%
110,2010,,The Ghost Writer,83,68,The Riddle,Mystery,15.54,44.48,60.02,45,15.02,133.38%
111,2010,,The Greatest,52,39,Discovery,Drama,0.11,0.3,0.41,6,-5.59,6.83%
112,2010,,The Joneses,61,47,Temptation,Comedy,1.48,0.49,6.41,10,-3.59,64.10%
113,2010,,The Karate Kid,66,75,Underdog,Action,176.59,182.53,359.13,40,319.13,897.83%
114,2010,,The Kids Are All Right,94,72,Comedy,Comedy,20.81,8.55,29.37,4,25.37,734.25%
115,2010,,The Killer Inside Me,56,41,The Riddle,Crime,0.22,3.36,3.58,13,-9.42,27.54%
116,2010,,The King's Speech,95,93,Maturation,Biography,,,245.2,15,230.2,1634.67%
117,2010,,The Last Airbender,6,42,Quest,Action,131.77,187.35,319.12,150,169.12,212.75%
118,2010,,The Last Exorcism,73,32,Monster Force,Drama,41.03,25.42,66.46,1.8,64.66,3692.22%
119,2010,,The Last Song,19,66,Discovery,Drama,62.95,26.09,89.04,20,69.04,445.20%
120,2010,,The Losers,47,55,Revenge,Action,23.59,5.79,29.38,25,4.38,117.52%
121,2010,,The Next Three Days,51,66,Rescue,Crime,21.15,20.6,41.75,30,11.75,139.17%
122,2010,,The Other Guys,78,57,Comedy,Action,119.22,51.05,170.27,100,70.27,170.27%
123,2010,,The Runaways,68,56,Maturation,Biography,3.57,1.11,4.68,10,-5.32,46.80%
124,2010,,The Social Network,96,89,Rags To Riches,Biography,94.08,105.52,199.6,50,149.6,399.20%
125,2010,,The Sorcerer's Apprentice,42,57,Pursuit,Action,63.15,152.13,215.28,150,65.28,143.52%
127,2010,,The Switch,52,44,Comedy,Comedy,27.78,19.95,47.73,19,28.73,251.21%
128,2010,,The Tourist,20,44,Pursuit,Action,67,210,278.34,100,178.34,278.34%
129,2010,,The Town,94,83,Rivalry,Crime,92.18,52.37,144.55,37,107.55,390.68%
130,2010,,The Twilight Saga: Eclipse,50,74,Monster Force,Drama,300.53,393.05,693.58,68,625.58,1019.97%
